account_id,plan_tier,industry,seats,contract_value_monthly,signup_date,churned,churn_date,storyline
ACC-00025,Starter,EdTech,3,316.65,2025-11-14,False,,recovered
ACC-00026,Starter,Logistics,1,44.72,2025-11-06,False,,healthy
ACC-00027,Starter,FinTech,2,171.25,2026-02-20,True,2026-06-26,sharp_drop
ACC-00028,Growth,Media,3,168.99,2026-01-08,True,2026-04-11,slow_decay
ACC-00029,Starter,Manufacturing,1,32.42,2025-12-14,True,2026-04-06,slow_decay
ACC-00030,Growth,Professional Services,1,176.57,2026-03-24,False,,recovered
ACC-00031,Starter,Professional Services,5,154.13,2026-05-19,False,,seasonal
ACC-00032,Growth,Manufacturing,7,1257.8,2025-12-05,False,,healthy
ACC-00033,Starter,Logistics,3,215.49,2025-12-02,False,,healthy
ACC-00034,Starter,Logistics,9,626.63,2026-04-09,True,2026-07-13,slow_decay
ACC-00035,Starter,Healthcare,1,57.05,2026-02-23,True,2026-07-05,slow_decay
ACC-00036,Starter,FinTech,8,331.43,2026-05-25,False,,slow_decay
ACC-00037,Starter,Media,3,264.0,2025-11-02,False,,seasonal
ACC-00038,Starter,Professional Services,4,348.81,2026-01-22,True,2026-07-19,slow_decay
ACC-00039,Starter,Logistics,2,238.42,2026-04-08,False,,healthy
ACC-00040,Growth,Healthcare,9,753.85,2026-02-25,False,,healthy
ACC-00041,Starter,Media,1,76.68,2026-02-13,False,,healthy
ACC-00042,Growth,EdTech,8,1526.99,2026-04-06,True,2026-07-21,sharp_drop
ACC-00043,Growth,Logistics,9,984.24,2026-02-04,False,,seasonal
ACC-00044,Growth,Professional Services,5,921.09,2025-12-11,False,,seasonal
ACC-00045,Scale,Professional Services,19,4715.96,2025-12-21,True,2026-05-10,sharp_drop
ACC-00046,Growth,Logistics,18,2696.24,2026-05-20,False,,recovered
ACC-00047,Enterprise,Media,9,1572.53,2026-05-24,False,,sharp_drop
ACC-00048,Starter,Media,9,1045.51,2025-12-22,False,,healthy
ACC-00049,Starter,Manufacturing,3,163.25,2025-11-17,False,,seasonal
ACC-00050,Starter,Retail,4,157.26,2026-02-26,False,,healthy
ACC-00051,Growth,Manufacturing,3,517.31,2026-03-23,False,,healthy
ACC-00052,Growth,Retail,6,788.7,2026-05-25,False,,seasonal
ACC-00053,Starter,Retail,5,228.96,2025-12-07,False,,recovered
ACC-00054,Scale,Professional Services,13,2223.88,2026-03-31,True,2026-07-22,sharp_drop
ACC-00055,Scale,FinTech,4,1084.54,2026-03-01,False,,healthy
ACC-00056,Enterprise,Media,17,2575.3,2026-01-06,False,,recovered
ACC-00057,Growth,Manufacturing,6,486.41,2026-05-02,False,,healthy
ACC-00058,Growth,EdTech,2,218.74,2026-01-13,True,2026-05-12,slow_decay
ACC-00059,Starter,Logistics,5,569.43,2025-12-22,False,,healthy
ACC-00060,Starter,EdTech,1,32.29,2026-01-10,True,2026-05-23,slow_decay
ACC-00061,Starter,Media,15,1757.72,2026-01-31,False,,healthy
ACC-00062,Starter,EdTech,1,100.37,2026-01-21,False,,seasonal
ACC-00063,Growth,Media,7,1060.5,2026-01-12,False,,seasonal
ACC-00064,Starter,FinTech,4,138.43,2026-02-21,False,,recovered
ACC-00065,Enterprise,Logistics,12,3459.94,2026-03-11,False,,healthy
ACC-00066,Starter,Retail,3,148.67,2025-11-05,False,,healthy
ACC-00067,Growth,Retail,5,637.1,2026-02-24,False,,healthy
ACC-00068,Starter,Healthcare,6,393.54,2026-04-20,False,,healthy
ACC-00069,Starter,FinTech,6,697.4,2026-04-29,False,,healthy
ACC-00070,Starter,Healthcare,2,228.58,2025-11-06,True,2026-05-12,slow_decay
ACC-00071,Growth,Professional Services,12,2263.05,2026-04-29,False,,healthy
ACC-00072,Scale,Media,31,6101.85,2026-03-15,False,,healthy
ACC-00073,Starter,FinTech,1,43.57,2026-04-17,False,,recovered
ACC-00074,Scale,Professional Services,18,3027.43,2026-04-25,False,,healthy
ACC-00075,Starter,Media,2,149.82,2026-01-10,True,2026-05-14,slow_decay
ACC-00076,Growth,Logistics,10,1812.76,2025-11-20,True,2026-05-15,slow_decay
ACC-00077,Growth,FinTech,12,1762.22,2025-11-05,False,,seasonal
ACC-00078,Starter,Manufacturing,2,102.55,2026-03-11,False,,healthy
ACC-00079,Starter,Manufacturing,3,313.41,2026-05-13,False,,healthy
ACC-00080,Growth,Professional Services,5,638.13,2026-03-08,False,,healthy
ACC-00081,Growth,Manufacturing,7,476.38,2026-01-16,False,,healthy
ACC-00082,Growth,Media,6,696.88,2025-12-30,True,2026-06-22,sharp_drop
ACC-00083,Growth,Logistics,4,474.98,2025-12-27,False,,seasonal
ACC-00084,Growth,Media,3,391.69,2025-11-27,False,,healthy
ACC-00085,Scale,Logistics,10,2514.83,2026-02-13,False,,seasonal
ACC-00086,Starter,Retail,3,266.23,2025-11-26,False,,recovered
ACC-00087,Growth,Retail,5,883.47,2025-11-12,False,,healthy
ACC-00088,Starter,Healthcare,2,186.26,2026-02-06,False,,healthy
ACC-00089,Growth,Manufacturing,4,607.43,2026-02-25,True,2026-06-23,slow_decay
ACC-00090,Scale,Retail,3,313.64,2026-04-22,True,2026-07-23,sharp_drop
ACC-00091,Growth,Media,2,240.83,2026-02-09,False,,healthy
ACC-00092,Starter,Media,8,316.18,2026-04-27,False,,healthy
ACC-00093,Growth,Media,5,552.67,2025-12-19,True,2026-04-30,slow_decay
ACC-00094,Scale,FinTech,7,1007.58,2026-05-13,False,,sharp_drop
ACC-00095,Scale,Manufacturing,7,1397.21,2026-02-12,False,,healthy
ACC-00096,Scale,Professional Services,7,515.77,2026-01-11,True,2026-05-22,slow_decay
ACC-00097,Growth,Manufacturing,23,2267.82,2026-03-04,True,2026-06-20,slow_decay
ACC-00098,Starter,Media,2,231.1,2026-03-08,False,,healthy
ACC-00099,Starter,EdTech,1,38.06,2026-02-06,False,,healthy
ACC-00100,Growth,Manufacturing,4,566.31,2026-02-12,False,,seasonal
ACC-00101,Starter,Logistics,1,89.71,2026-04-08,True,2026-07-12,slow_decay
ACC-00102,Starter,Manufacturing,3,179.31,2025-12-09,False,,seasonal
ACC-00103,Starter,Manufacturing,1,55.62,2026-03-20,False,,recovered
ACC-00104,Growth,Professional Services,4,344.19,2026-05-18,False,,healthy
ACC-00105,Starter,FinTech,1,59.8,2025-11-09,False,,healthy
ACC-00106,Growth,Manufacturing,2,169.9,2026-05-01,False,,healthy
ACC-00107,Starter,Manufacturing,1,82.42,2026-02-16,False,,healthy
ACC-00108,Growth,Logistics,9,1049.66,2026-01-26,True,2026-05-07,sharp_drop
ACC-00109,Enterprise,Healthcare,50,12740.56,2025-11-10,False,,healthy
ACC-00110,Growth,Manufacturing,4,389.16,2026-02-12,False,,healthy
ACC-00111,Scale,Professional Services,3,412.79,2026-02-11,False,,recovered
ACC-00112,Enterprise,Logistics,18,8594.83,2026-04-17,False,,healthy
ACC-00113,Growth,Logistics,3,477.08,2026-05-04,False,,recovered
ACC-00114,Starter,Professional Services,5,337.77,2026-02-26,False,,healthy
ACC-00115,Growth,Logistics,4,584.55,2025-11-13,False,,healthy
ACC-00116,Growth,Retail,7,1151.89,2026-03-13,True,2026-07-13,sharp_drop
ACC-00117,Starter,Media,5,222.44,2026-05-08,False,,seasonal
ACC-00118,Starter,Media,1,105.31,2026-03-28,True,2026-07-23,slow_decay
ACC-00119,Growth,Manufacturing,2,342.16,2026-03-06,False,,seasonal
ACC-00120,Growth,Manufacturing,4,719.73,2026-05-24,False,,healthy
ACC-00121,Starter,Media,1,74.02,2025-11-22,False,,healthy
ACC-00122,Enterprise,FinTech,13,2461.75,2026-02-15,False,,healthy
ACC-00123,Scale,Professional Services,12,3162.51,2026-04-15,False,,healthy
ACC-00124,Scale,Retail,9,743.6,2026-04-29,False,,recovered
ACC-00125,Scale,Logistics,17,3506.24,2026-02-10,False,,recovered
ACC-00126,Starter,Manufacturing,1,81.35,2026-05-20,False,,healthy
ACC-00127,Growth,EdTech,4,313.31,2026-04-18,False,,healthy
ACC-00128,Starter,Retail,6,341.14,2026-03-11,False,,healthy
ACC-00129,Starter,Retail,7,349.51,2026-01-25,False,,seasonal
ACC-00130,Starter,Professional Services,5,348.29,2026-04-12,False,,healthy
ACC-00131,Growth,Professional Services,17,2655.44,2026-04-06,False,,healthy
ACC-00132,Scale,EdTech,17,2354.64,2026-04-12,False,,healthy
ACC-00133,Scale,Logistics,17,4663.69,2026-04-08,False,,healthy
ACC-00134,Growth,EdTech,6,1128.11,2026-03-21,False,,healthy
ACC-00135,Growth,Media,1,176.4,2025-12-07,False,,healthy
ACC-00136,Starter,Retail,4,262.71,2026-01-22,True,2026-07-14,slow_decay
ACC-00137,Starter,Media,1,88.03,2026-01-01,False,,healthy
ACC-00138,Scale,Manufacturing,31,7687.39,2026-03-11,True,2026-06-11,sharp_drop
ACC-00139,Growth,Professional Services,3,376.37,2026-02-09,False,,healthy
ACC-00140,Starter,EdTech,3,207.58,2026-03-07,True,2026-06-21,slow_decay
ACC-00141,Growth,Media,4,474.55,2026-04-08,False,,healthy
ACC-00142,Scale,EdTech,9,2546.92,2026-02-15,False,,healthy
ACC-00143,Starter,Professional Services,7,331.07,2026-01-22,True,2026-06-30,slow_decay
ACC-00144,Growth,Media,8,1530.03,2025-11-08,True,2026-02-17,slow_decay
ACC-00145,Scale,Professional Services,5,1294.12,2026-02-17,False,,recovered
ACC-00146,Growth,Media,2,335.68,2026-01-16,False,,healthy
ACC-00147,Growth,Retail,5,475.22,2025-11-24,False,,healthy
ACC-00148,Starter,Healthcare,2,178.75,2026-05-14,False,,seasonal
ACC-00149,Growth,Media,8,728.58,2026-01-15,False,,healthy
ACC-00150,Growth,Professional Services,2,132.43,2025-11-14,True,2026-07-01,sharp_drop
ACC-00151,Growth,Retail,8,966.92,2026-04-20,False,,healthy
ACC-00152,Scale,Professional Services,7,1178.32,2025-11-30,False,,healthy
ACC-00153,Starter,Healthcare,8,373.37,2026-02-05,False,,healthy
ACC-00154,Starter,Retail,4,345.43,2026-04-25,False,,healthy
ACC-00155,Growth,Manufacturing,8,1270.24,2026-02-27,False,,healthy
ACC-00156,Starter,Professional Services,2,195.57,2025-12-20,False,,healthy
ACC-00157,Starter,Manufacturing,1,88.06,2025-12-21,False,,recovered
ACC-00158,Growth,Healthcare,3,239.7,2026-05-17,False,,healthy
ACC-00159,Growth,Manufacturing,18,1206.72,2026-01-31,False,,seasonal
ACC-00160,Scale,Logistics,10,2779.76,2025-12-02,False,,recovered
ACC-00161,Starter,Healthcare,3,291.11,2026-02-22,False,,seasonal
ACC-00162,Growth,Logistics,3,448.9,2025-12-26,False,,seasonal
ACC-00163,Starter,Healthcare,7,433.3,2026-02-26,True,2026-06-26,slow_decay
ACC-00164,Starter,Logistics,9,562.07,2025-11-04,True,2026-06-13,sharp_drop
ACC-00165,Growth,Logistics,3,556.56,2026-03-30,False,,recovered
ACC-00166,Scale,Professional Services,21,2360.51,2026-01-15,False,,seasonal
ACC-00167,Starter,Professional Services,10,1126.33,2025-12-06,False,,recovered
ACC-00168,Scale,EdTech,18,4130.38,2025-11-21,False,,healthy
ACC-00169,Starter,Logistics,3,133.78,2026-03-18,True,2026-06-18,sharp_drop
ACC-00170,Growth,Healthcare,5,619.89,2026-03-31,False,,healthy
ACC-00171,Growth,Media,5,274.04,2025-12-23,True,2026-06-22,sharp_drop
ACC-00172,Enterprise,EdTech,19,7626.25,2025-12-06,False,,recovered
ACC-00173,Starter,Healthcare,1,102.4,2026-04-06,False,,seasonal
ACC-00174,Scale,EdTech,13,1840.55,2026-03-10,False,,recovered
ACC-00175,Starter,Media,3,117.02,2026-02-27,False,,recovered
ACC-00176,Growth,Retail,12,1521.29,2026-01-11,False,,seasonal
ACC-00177,Starter,Retail,3,181.73,2025-12-04,False,,healthy
ACC-00178,Starter,Logistics,2,188.26,2025-11-29,False,,seasonal
ACC-00179,Growth,Retail,6,635.04,2026-01-22,True,2026-07-11,slow_decay
ACC-00180,Starter,EdTech,3,213.21,2026-01-11,True,2026-04-12,slow_decay
ACC-00181,Starter,Media,3,198.88,2025-11-26,True,2026-04-27,slow_decay
ACC-00182,Scale,EdTech,16,3390.92,2026-01-22,False,,healthy
ACC-00183,Scale,Healthcare,4,457.09,2026-05-26,False,,healthy
ACC-00184,Starter,EdTech,13,1118.19,2026-04-13,False,,healthy
ACC-00185,Enterprise,Professional Services,10,3883.0,2026-03-22,False,,healthy
ACC-00186,Starter,EdTech,3,148.09,2026-03-10,False,,healthy
ACC-00187,Starter,Media,3,315.74,2026-02-14,True,2026-05-24,slow_decay
ACC-00188,Starter,Logistics,4,170.33,2026-02-17,False,,recovered
ACC-00189,Growth,Logistics,6,566.15,2026-05-28,False,,healthy
ACC-00190,Growth,Healthcare,9,1253.73,2025-12-09,False,,healthy
ACC-00191,Starter,Logistics,1,56.46,2025-12-02,False,,healthy
ACC-00192,Growth,Retail,3,271.24,2025-12-01,True,2026-05-10,slow_decay
ACC-00193,Starter,Healthcare,4,137.47,2025-11-14,True,2026-02-16,slow_decay
ACC-00194,Growth,EdTech,11,1542.8,2026-02-26,False,,healthy
ACC-00195,Growth,Retail,8,938.8,2025-11-04,True,2026-02-28,sharp_drop
ACC-00196,Growth,Logistics,6,332.17,2026-05-12,False,,healthy
ACC-00197,Growth,Healthcare,16,2016.48,2026-04-18,False,,healthy
ACC-00198,Starter,Manufacturing,2,76.37,2025-11-29,False,,healthy
ACC-00199,Starter,Retail,1,97.85,2026-03-10,True,2026-07-15,sharp_drop
ACC-00200,Starter,Retail,20,1503.7,2026-02-24,True,2026-07-20,sharp_drop
ACC-00201,Growth,Healthcare,27,4815.58,2025-12-18,False,,healthy
ACC-00202,Growth,Logistics,9,1041.37,2026-01-31,False,,healthy
ACC-00203,Growth,Manufacturing,8,540.63,2026-05-28,False,,slow_decay
ACC-00204,Enterprise,Media,26,3341.31,2026-05-25,False,,seasonal
ACC-00205,Growth,Logistics,7,945.58,2026-02-09,True,2026-07-07,sharp_drop
ACC-00206,Starter,Logistics,1,58.86,2025-11-17,False,,healthy
ACC-00207,Growth,Media,10,1857.7,2026-04-08,False,,healthy
ACC-00208,Enterprise,Manufacturing,11,4973.1,2025-12-10,False,,healthy
ACC-00209,Growth,EdTech,14,1414.39,2025-12-28,True,2026-06-16,slow_decay
ACC-00210,Starter,Media,1,74.15,2026-05-12,False,,healthy
ACC-00211,Scale,Healthcare,6,1508.19,2026-04-26,False,,healthy
ACC-00212,Starter,Healthcare,2,188.2,2026-05-04,False,,healthy
ACC-00213,Enterprise,Logistics,4,1599.33,2026-04-17,False,,seasonal
ACC-00214,Starter,Retail,3,283.19,2025-11-25,True,2026-03-30,slow_decay
ACC-00215,Growth,EdTech,8,833.72,2026-03-15,True,2026-06-19,slow_decay
ACC-00216,Starter,Manufacturing,2,91.48,2026-03-18,False,,healthy
ACC-00217,Growth,Manufacturing,22,3829.12,2026-03-31,True,2026-07-20,sharp_drop
ACC-00218,Enterprise,FinTech,30,6403.07,2026-05-20,False,,healthy
ACC-00219,Scale,Manufacturing,4,860.99,2025-11-02,False,,healthy
ACC-00220,Growth,FinTech,6,414.69,2026-03-22,False,,recovered
ACC-00221,Starter,Logistics,1,77.15,2026-03-01,False,,healthy
ACC-00222,Scale,Logistics,3,620.27,2025-12-17,False,,healthy
ACC-00223,Growth,Manufacturing,7,894.08,2026-03-02,False,,healthy
ACC-00224,Growth,Manufacturing,3,495.35,2026-05-03,False,,seasonal
ACC-00225,Enterprise,Professional Services,43,11556.52,2026-03-25,False,,seasonal
ACC-00226,Enterprise,Professional Services,13,3917.42,2025-11-05,False,,healthy
ACC-00227,Enterprise,Manufacturing,27,9568.61,2026-01-24,False,,healthy
ACC-00228,Growth,Manufacturing,9,1610.92,2026-03-01,False,,healthy
ACC-00229,Starter,EdTech,7,374.09,2026-05-06,False,,recovered
ACC-00230,Growth,Retail,9,854.58,2026-01-01,False,,seasonal
ACC-00231,Starter,Media,1,94.41,2026-05-27,False,,healthy
ACC-00232,Growth,Professional Services,3,386.42,2026-05-25,False,,healthy
ACC-00233,Growth,Retail,6,1124.99,2026-01-20,False,,healthy
ACC-00234,Starter,FinTech,1,49.02,2026-01-25,False,,healthy
ACC-00235,Growth,EdTech,15,1967.91,2026-05-21,False,,healthy
ACC-00236,Scale,Manufacturing,1,261.98,2025-11-09,False,,healthy
ACC-00237,Growth,EdTech,37,3390.67,2026-02-12,False,,healthy
ACC-00238,Growth,Media,1,49.46,2025-12-02,False,,healthy
ACC-00239,Enterprise,EdTech,60,22533.36,2025-11-20,True,2026-03-09,sharp_drop
ACC-00240,Growth,EdTech,11,2068.65,2026-05-06,False,,seasonal
ACC-00241,Starter,Logistics,1,44.19,2025-11-02,False,,healthy
ACC-00242,Scale,Retail,8,1462.88,2025-12-10,False,,healthy
ACC-00243,Growth,EdTech,3,213.0,2026-01-15,True,2026-07-22,slow_decay
ACC-00244,Growth,Retail,6,766.47,2026-01-27,True,2026-04-29,sharp_drop
ACC-00245,Enterprise,FinTech,13,4809.03,2026-04-12,False,,healthy
ACC-00246,Starter,Retail,3,355.09,2026-01-14,False,,healthy
ACC-00247,Growth,FinTech,6,613.18,2026-05-20,False,,healthy
ACC-00248,Starter,Media,1,110.64,2025-11-09,False,,healthy
ACC-00249,Growth,Healthcare,8,446.61,2025-12-06,False,,healthy
ACC-00250,Growth,Manufacturing,7,341.77,2026-05-10,False,,healthy
ACC-00251,Growth,Media,21,1624.96,2026-03-09,True,2026-07-22,slow_decay
ACC-00252,Starter,Logistics,5,558.81,2026-01-22,False,,seasonal
ACC-00253,Growth,Healthcare,4,414.77,2026-02-20,False,,seasonal
ACC-00254,Growth,Manufacturing,6,890.64,2026-01-27,False,,healthy
ACC-00255,Starter,Healthcare,3,296.78,2026-03-08,False,,healthy
ACC-00256,Enterprise,Media,18,3279.36,2025-11-24,False,,healthy
ACC-00257,Starter,Healthcare,8,503.62,2026-01-15,True,2026-05-01,slow_decay
ACC-00258,Scale,Healthcare,3,310.53,2026-05-16,False,,healthy
ACC-00259,Growth,EdTech,6,954.7,2025-12-14,False,,healthy
ACC-00260,Scale,Media,4,530.71,2026-05-27,False,,seasonal
ACC-00261,Starter,Logistics,2,124.35,2026-01-12,True,2026-05-25,sharp_drop
ACC-00262,Starter,Media,1,51.65,2026-05-09,False,,recovered
ACC-00263,Scale,Retail,4,519.01,2026-04-16,False,,healthy
ACC-00264,Starter,Manufacturing,5,162.72,2025-11-19,False,,healthy
ACC-00265,Enterprise,Professional Services,8,3031.91,2026-01-31,True,2026-06-05,slow_decay
ACC-00266,Growth,Media,10,1037.44,2025-12-12,False,,seasonal
ACC-00267,Growth,Healthcare,16,803.17,2025-11-02,False,,seasonal
ACC-00268,Scale,FinTech,11,1574.56,2026-05-25,False,,sharp_drop
ACC-00269,Enterprise,Healthcare,12,2716.93,2025-12-01,False,,healthy
ACC-00270,Scale,EdTech,7,599.55,2026-04-28,False,,healthy
ACC-00271,Growth,EdTech,3,277.72,2026-02-16,True,2026-07-16,slow_decay
ACC-00272,Growth,Logistics,8,856.34,2026-04-12,False,,healthy
ACC-00273,Scale,FinTech,9,2131.02,2025-11-02,False,,seasonal
ACC-00274,Scale,Logistics,9,2405.98,2026-02-23,True,2026-06-24,slow_decay
ACC-00275,Starter,Professional Services,3,107.81,2026-05-24,False,,slow_decay
ACC-00276,Enterprise,FinTech,2,304.03,2026-05-23,False,,slow_decay
ACC-00277,Starter,Retail,3,185.4,2026-05-23,False,,slow_decay
ACC-00278,Starter,Manufacturing,1,115.11,2026-02-23,True,2026-06-02,sharp_drop
ACC-00279,Growth,Media,2,273.46,2026-03-18,False,,seasonal
ACC-00280,Starter,EdTech,9,778.83,2026-05-10,False,,sharp_drop
ACC-00281,Starter,EdTech,4,404.4,2026-04-07,False,,healthy
ACC-00282,Scale,Manufacturing,19,1409.53,2026-01-13,True,2026-07-22,slow_decay
ACC-00283,Growth,Healthcare,2,354.69,2026-05-28,False,,recovered
ACC-00284,Starter,Manufacturing,1,88.24,2026-02-02,False,,healthy
ACC-00285,Enterprise,FinTech,51,9163.66,2026-04-16,False,,healthy
ACC-00286,Scale,Media,11,1135.0,2026-03-06,False,,healthy
ACC-00287,Enterprise,EdTech,3,1434.72,2026-03-23,True,2026-07-11,slow_decay
ACC-00288,Starter,Retail,11,748.28,2025-11-17,True,2026-07-01,slow_decay
ACC-00289,Starter,Logistics,7,350.14,2026-01-04,False,,healthy
ACC-00290,Scale,Retail,15,1330.03,2026-05-21,False,,recovered
ACC-00291,Scale,Manufacturing,24,5100.22,2025-12-02,False,,healthy
ACC-00292,Scale,Professional Services,10,1222.24,2025-12-30,False,,seasonal
ACC-00293,Scale,Manufacturing,8,2205.13,2026-04-05,True,2026-07-10,slow_decay
ACC-00294,Enterprise,EdTech,18,3942.52,2025-12-07,False,,healthy
ACC-00295,Scale,Retail,5,904.65,2026-02-05,False,,healthy
ACC-00296,Growth,Manufacturing,2,126.52,2026-01-14,False,,healthy
ACC-00297,Starter,Manufacturing,1,67.8,2026-02-09,False,,healthy
ACC-00298,Scale,Healthcare,4,524.9,2026-05-10,False,,seasonal
ACC-00299,Growth,Professional Services,2,349.53,2026-02-02,False,,seasonal
ACC-00300,Starter,FinTech,7,602.31,2026-02-06,False,,seasonal
ACC-00301,Starter,EdTech,3,323.4,2026-01-29,False,,healthy
ACC-00302,Scale,Professional Services,5,784.07,2026-03-20,True,2026-07-06,slow_decay
ACC-00303,Scale,Manufacturing,14,1167.43,2026-01-10,False,,recovered
ACC-00304,Scale,EdTech,4,572.31,2025-11-12,False,,healthy
ACC-00305,Growth,Manufacturing,3,571.36,2026-01-10,True,2026-04-26,sharp_drop
ACC-00306,Growth,Healthcare,16,1597.57,2025-12-04,False,,seasonal
ACC-00307,Scale,Retail,19,5014.08,2026-03-14,True,2026-06-12,slow_decay
ACC-00308,Starter,Logistics,2,80.12,2026-02-17,True,2026-07-14,sharp_drop
ACC-00309,Growth,FinTech,14,752.43,2026-05-24,False,,healthy
ACC-00310,Enterprise,Retail,23,3466.74,2026-05-04,False,,slow_decay
ACC-00311,Starter,Manufacturing,11,715.64,2026-04-14,True,2026-07-20,slow_decay
ACC-00312,Growth,Media,10,1165.29,2026-01-10,False,,recovered
ACC-00313,Starter,Healthcare,8,782.84,2025-12-21,False,,healthy
ACC-00314,Starter,Healthcare,3,289.81,2026-04-29,False,,healthy
ACC-00315,Starter,Media,3,343.21,2025-12-27,True,2026-04-06,sharp_drop
ACC-00316,Starter,Manufacturing,1,93.14,2025-12-28,False,,recovered
ACC-00317,Scale,Manufacturing,21,2995.61,2026-02-12,False,,healthy
ACC-00318,Enterprise,Logistics,8,3619.26,2026-02-01,False,,healthy
ACC-00319,Scale,Retail,7,1113.49,2026-05-06,False,,healthy
ACC-00320,Growth,EdTech,2,113.31,2026-03-15,False,,seasonal
ACC-00321,Growth,EdTech,3,144.55,2026-02-28,False,,healthy
ACC-00322,Scale,Media,19,1811.59,2026-01-03,True,2026-06-14,sharp_drop
ACC-00323,Starter,Healthcare,1,108.88,2025-12-05,False,,healthy
ACC-00324,Starter,Media,4,329.78,2026-04-28,False,,healthy
ACC-00325,Growth,Healthcare,17,1311.2,2025-12-29,True,2026-05-20,slow_decay
ACC-00326,Growth,FinTech,12,2281.1,2025-12-25,False,,healthy
ACC-00327,Starter,Professional Services,14,978.81,2025-11-23,False,,seasonal
ACC-00328,Starter,Logistics,6,587.8,2025-11-18,True,2026-04-17,slow_decay
ACC-00329,Growth,Logistics,1,67.59,2026-03-25,False,,healthy
ACC-00330,Scale,Healthcare,13,3377.39,2026-03-31,False,,recovered
ACC-00331,Scale,Retail,20,5041.92,2026-01-08,False,,healthy
ACC-00332,Starter,Professional Services,2,137.65,2026-04-23,False,,healthy
ACC-00333,Scale,EdTech,21,2156.66,2025-12-14,False,,healthy
ACC-00334,Growth,Healthcare,5,680.38,2025-11-14,False,,seasonal
ACC-00335,Growth,Media,5,515.73,2026-02-17,False,,healthy
ACC-00336,Growth,Professional Services,4,231.88,2026-01-24,False,,seasonal
ACC-00337,Growth,EdTech,28,3192.23,2025-11-27,False,,recovered
ACC-00338,Scale,Retail,20,2407.35,2026-05-04,False,,recovered
ACC-00339,Scale,Retail,5,1172.22,2026-01-03,False,,seasonal
ACC-00340,Starter,Healthcare,3,171.24,2026-05-28,False,,seasonal
ACC-00341,Enterprise,FinTech,39,11005.68,2025-11-17,True,2026-05-02,slow_decay
ACC-00342,Scale,Media,8,794.48,2026-05-20,False,,recovered
ACC-00343,Enterprise,Retail,6,1728.9,2025-11-25,False,,healthy
ACC-00344,Enterprise,Media,15,5987.35,2025-11-08,True,2026-04-06,slow_decay
ACC-00345,Growth,Retail,2,205.51,2026-02-02,True,2026-05-18,sharp_drop
ACC-00346,Enterprise,Professional Services,35,13665.66,2026-03-28,True,2026-07-05,slow_decay
ACC-00347,Growth,FinTech,3,512.81,2026-01-24,True,2026-05-11,slow_decay
ACC-00348,Growth,EdTech,9,1172.84,2026-02-09,False,,healthy
ACC-00349,Growth,Manufacturing,3,282.25,2026-02-28,True,2026-07-19,sharp_drop
ACC-00350,Starter,Logistics,4,254.7,2026-02-24,False,,healthy
ACC-00351,Starter,Retail,4,397.24,2026-04-13,False,,healthy
ACC-00352,Starter,FinTech,2,223.66,2025-12-18,True,2026-05-12,slow_decay
ACC-00353,Scale,Logistics,18,1338.47,2025-12-30,True,2026-04-25,slow_decay
ACC-00354,Scale,Manufacturing,10,1648.71,2026-03-12,False,,healthy
ACC-00355,Starter,EdTech,4,453.01,2026-01-23,False,,healthy
ACC-00356,Starter,FinTech,1,104.15,2026-02-20,False,,healthy
