account_id,plan_tier,industry,seats,contract_value_monthly,tenure_days,risk_score,risk_tier,top_risk_drivers,recommended_action,days_since_last_login,login_momentum_7_30,support_ticket_trend_14_60,latest_nps,as_of_date
ACC-00893,Starter,Healthcare,8,243.88,44,0.164,Low,Login frequency down 50% vs their own 30-day average,Check in with an async usage summary or a light-touch 'how's it going' email.,0.0,0.4993065187239944,0.199999960000008,,2026-06-22
ACC-01102,Growth,Logistics,3,459.79,79,0.162,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,1.1428571428571428,0.4999999166666805,,2026-06-22
ACC-00113,Growth,Logistics,3,477.08,51,0.161,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,1.1224489795918369,0.0,7.0,2026-06-24
ACC-00197,Growth,Healthcare,16,2016.48,65,0.151,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.912442396313364,0.4999998750000312,9.0,2026-06-22
ACC-00922,Starter,Manufacturing,14,738.58,72,0.141,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.9959758551307848,0.4999998750000312,8.0,2026-06-27
ACC-00469,Growth,Healthcare,21,3121.96,219,0.138,Low,Login frequency down 41% vs their own 30-day average | Low NPS/survey response (3/10),Check in with an async usage summary or a light-touch 'how's it going' email.,0.0,0.5873015873015873,0.499999750000125,3.0,2026-06-27
ACC-00213,Enterprise,Logistics,4,1599.33,72,0.135,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.759493670886076,0.999999000001,,2026-06-28
ACC-00552,Scale,Retail,3,304.19,93,0.132,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.9937888198757764,0.499999750000125,8.0,2026-06-26
ACC-00021,Starter,Retail,4,431.62,100,0.131,Low,Low NPS/survey response (1/10),Personally follow up on their survey feedback; treat as a save-play priority.,2.0,0.6912442396313363,0.0,1.0,2026-06-28
ACC-00785,Growth,Media,7,896.23,93,0.129,Low,Login frequency down 61% vs their own 30-day average,Check in with an async usage summary or a light-touch 'how's it going' email.,1.0,0.3947368421052631,0.0,8.0,2026-06-28
ACC-00262,Starter,Media,1,51.65,44,0.113,Low,Low NPS/survey response (2/10),Personally follow up on their survey feedback; treat as a save-play priority.,3.0,0.7142857142857143,0.0,2.0,2026-06-22
ACC-00046,Growth,Logistics,18,2696.24,37,0.103,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.7857142857142857,0.0,,2026-06-26
ACC-00224,Growth,Manufacturing,3,495.35,51,0.1,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,1.52073732718894,0.9999996666667778,7.0,2026-06-23
ACC-00290,Scale,Retail,15,1330.03,37,0.09,Low,Login frequency down 42% vs their own 30-day average,Check in with an async usage summary or a light-touch 'how's it going' email.,0.0,0.5756929637526653,0.499999750000125,,2026-06-27
ACC-00141,Growth,Media,4,474.55,79,0.087,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,1.0112359550561798,0.99999950000025,9.0,2026-06-26
ACC-00533,Starter,Manufacturing,12,489.79,79,0.086,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.8345864661654135,0.999999000001,10.0,2026-06-27
ACC-00643,Growth,Professional Services,3,448.48,65,0.084,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,1.512605042016807,0.0,7.0,2026-06-23
ACC-00791,Enterprise,FinTech,79,24733.52,58,0.08,Low,Low NPS/survey response (2/10),Personally follow up on their survey feedback; treat as a save-play priority.,0.0,1.1111111111111112,0.499999750000125,2.0,2026-06-27
ACC-00807,Starter,Professional Services,14,857.51,86,0.078,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,1.105990783410138,0.99999950000025,10.0,2026-06-24
ACC-00285,Enterprise,FinTech,51,9163.66,72,0.078,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,1.1313394018205465,0.2499999375000156,,2026-06-27
ACC-00878,Starter,Retail,2,166.0,58,0.076,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,1.0,0.6857142857142856,0.599999880000024,9.0,2026-06-22
ACC-00744,Starter,EdTech,5,241.12,44,0.075,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.8035714285714286,0.0,,2026-06-23
ACC-00501,Enterprise,Media,24,6843.1,37,0.074,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.6755805770584096,0.499999750000125,9.0,2026-06-23
ACC-00773,Scale,Professional Services,31,6753.89,44,0.074,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.9705124534783852,0.399999920000016,,2026-06-26
ACC-00729,Starter,Professional Services,10,1025.99,79,0.072,Low,Low NPS/survey response (3/10),Personally follow up on their survey feedback; treat as a save-play priority.,0.0,0.706436420722135,0.3333332222222592,3.0,2026-06-24
ACC-00905,Starter,Logistics,4,460.39,79,0.068,Low,Low NPS/survey response (3/10),Personally follow up on their survey feedback; treat as a save-play priority.,1.0,1.0150375939849623,0.6666664444445185,3.0,2026-06-24
ACC-00712,Enterprise,Retail,12,4969.16,93,0.065,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.9873949579831932,0.0,10.0,2026-06-25
ACC-00362,Growth,Manufacturing,5,310.96,135,0.063,Low,Login frequency down 46% vs their own 30-day average,Check in with an async usage summary or a light-touch 'how's it going' email.,1.0,0.5424954792043399,0.0,10.0,2026-06-24
ACC-00342,Scale,Media,8,794.48,37,0.058,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.9133489461358316,0.0,,2026-06-26
ACC-00728,Starter,Logistics,2,139.65,44,0.057,Low,Login frequency down 50% vs their own 30-day average,Check in with an async usage summary or a light-touch 'how's it going' email.,1.0,0.5042016806722689,0.0,,2026-06-26
ACC-00462,Starter,Healthcare,3,279.59,205,0.056,Low,Low NPS/survey response (2/10),Personally follow up on their survey feedback; treat as a save-play priority.,0.0,0.6818181818181819,0.499999750000125,2.0,2026-06-24
ACC-00986,Starter,Logistics,9,635.67,79,0.055,Low,Low NPS/survey response (2/10),Personally follow up on their survey feedback; treat as a save-play priority.,0.0,0.9008189262966332,0.0,2.0,2026-06-22
ACC-01133,Scale,Logistics,9,1830.37,37,0.055,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.6766917293233082,0.0,,2026-06-24
ACC-00387,Starter,Logistics,1,90.41,79,0.053,Low,Very narrow feature adoption (avg 1.5 features/day) | Low NPS/survey response (4/10),Offer a tailored onboarding refresh or feature-adoption session.,1.0,0.9890109890109888,0.0,4.0,2026-06-22
ACC-00996,Starter,Logistics,6,461.01,58,0.052,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,1.0261569416498992,0.399999920000016,9.0,2026-06-23
ACC-00283,Growth,Healthcare,2,354.69,30,0.05,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,1.020408163265306,0.0,,2026-06-27
ACC-00955,Growth,Professional Services,3,193.64,93,0.049,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,1.0,0.7346938775510203,0.6666664444445185,9.0,2026-06-28
ACC-00549,Starter,Logistics,4,465.62,72,0.049,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,1.0389610389610389,0.0,8.0,2026-06-23
ACC-00521,Scale,Retail,5,1164.43,37,0.048,Low,Login frequency down 45% vs their own 30-day average,Check in with an async usage summary or a light-touch 'how's it going' email.,0.0,0.5510204081632654,0.0,7.0,2026-06-26
ACC-01147,Growth,Logistics,6,827.22,79,0.048,Low,Low NPS/survey response (3/10),Personally follow up on their survey feedback; treat as a save-play priority.,0.0,1.3636363636363638,0.499999750000125,3.0,2026-06-22
ACC-00600,Starter,Healthcare,5,160.41,177,0.046,Low,Login frequency down 46% vs their own 30-day average | Low NPS/survey response (6/10),Check in with an async usage summary or a light-touch 'how's it going' email.,0.0,0.5432595573440644,0.0,6.0,2026-06-24
ACC-00260,Scale,Media,4,530.71,30,0.045,Low,Low NPS/survey response (4/10),Personally follow up on their survey feedback; treat as a save-play priority.,0.0,0.9523809523809524,0.999999000001,4.0,2026-06-26
ACC-00080,Growth,Professional Services,5,638.13,107,0.044,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.8571428571428571,0.4285713673469475,7.0,2026-06-23
ACC-00272,Growth,Logistics,8,856.34,72,0.043,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.8766233766233767,0.0,10.0,2026-06-23
ACC-01081,Starter,Logistics,4,471.66,72,0.042,Low,Low NPS/survey response (5/10),Personally follow up on their survey feedback; treat as a save-play priority.,0.0,1.324675324675325,0.0,5.0,2026-06-23
ACC-00935,Starter,FinTech,2,177.46,93,0.042,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,3.0,1.2129380053908356,0.3333332222222592,,2026-06-28
ACC-00691,Growth,EdTech,3,379.87,79,0.042,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.8866995073891625,0.199999960000008,,2026-06-24
ACC-00173,Starter,Healthcare,1,102.4,79,0.042,Low,Login frequency down 77% vs their own 30-day average | Active days per week down 67% vs baseline | Low NPS/survey response (3/10),Check in with an async usage summary or a light-touch 'how's it going' email.,5.0,0.225563909774436,0.0,3.0,2026-06-24
ACC-01002,Growth,EdTech,5,668.47,100,0.041,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,1.12987012987013,0.99999950000025,10.0,2026-06-24
ACC-00564,Starter,Logistics,6,440.98,72,0.041,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.9230769230769232,0.0,8.0,2026-06-26
ACC-00964,Starter,Healthcare,3,312.37,79,0.041,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.75,0.999999000001,8.0,2026-06-24
ACC-00184,Starter,EdTech,13,1118.19,72,0.041,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.9966777408637874,0.2499999375000156,10.0,2026-06-24
ACC-00068,Starter,Healthcare,6,393.54,65,0.041,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.8866995073891625,0.6666664444445185,,2026-06-24
ACC-00397,Growth,Healthcare,1,166.66,156,0.039,Low,Low NPS/survey response (4/10),Personally follow up on their survey feedback; treat as a save-play priority.,3.0,1.3392857142857144,0.0,4.0,2026-06-22
ACC-00579,Growth,Manufacturing,1,84.55,37,0.039,Low,Login frequency down 52% vs their own 30-day average,Check in with an async usage summary or a light-touch 'how's it going' email.,5.0,0.4761904761904761,0.499999750000125,,2026-06-23
ACC-00741,Growth,Media,6,671.97,79,0.038,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,1.346938775510204,0.199999960000008,9.0,2026-06-23
ACC-00990,Growth,Healthcare,3,507.91,51,0.037,Low,Login frequency down 60% vs their own 30-day average | Low NPS/survey response (1/10),Check in with an async usage summary or a light-touch 'how's it going' email.,0.0,0.3968253968253968,0.99999950000025,1.0,2026-06-25
ACC-01163,Enterprise,Logistics,16,2078.31,86,0.036,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.7803837953091685,0.999999000001,8.0,2026-06-27
ACC-00368,Scale,Manufacturing,7,1355.81,72,0.035,Low,Low NPS/survey response (3/10),Personally follow up on their survey feedback; treat as a save-play priority.,0.0,0.7346938775510203,0.499999750000125,3.0,2026-06-23
ACC-01101,Starter,EdTech,2,205.95,72,0.035,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,1.3533834586466165,0.999999000001,8.0,2026-06-25
ACC-01110,Growth,Retail,3,519.61,30,0.034,Low,Low NPS/survey response (0/10),Personally follow up on their survey feedback; treat as a save-play priority.,1.0,1.0714285714285714,0.4999998750000312,0.0,2026-06-24
ACC-00279,Growth,Media,2,273.46,100,0.033,Low,Login frequency down 67% vs their own 30-day average | Active days per week down 57% vs baseline,Check in with an async usage summary or a light-touch 'how's it going' email.,6.0,0.3296703296703296,0.0,8.0,2026-06-26
ACC-00130,Starter,Professional Services,5,348.29,72,0.032,Low,Login frequency down 54% vs their own 30-day average,Check in with an async usage summary or a light-touch 'how's it going' email.,0.0,0.4559270516717325,0.0,,2026-06-23
ACC-01152,Starter,EdTech,1,107.6,30,0.032,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,5.0,1.4285714285714284,0.599999880000024,,2026-06-23
ACC-00477,Starter,Professional Services,7,699.2,100,0.031,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,1.0,0.2499999375000156,,2026-06-28
ACC-00433,Growth,Manufacturing,14,1636.56,72,0.03,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,1.130587204206836,0.3333332222222592,10.0,2026-06-26
ACC-00731,Growth,Healthcare,7,1249.91,107,0.03,Low,Login frequency down 43% vs their own 30-day average,Check in with an async usage summary or a light-touch 'how's it going' email.,0.0,0.5679862306368331,0.333333277777787,8.0,2026-06-23
ACC-00004,Starter,Healthcare,3,161.26,58,0.029,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,1.0,0.879120879120879,0.3333332222222592,,2026-06-25
ACC-00204,Enterprise,Media,26,3341.31,30,0.028,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.7905686546463246,0.99999950000025,,2026-06-24
ACC-01060,Growth,EdTech,6,866.14,86,0.028,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.9620991253644317,0.4999998750000312,10.0,2026-06-23
ACC-01183,Starter,Logistics,5,355.46,72,0.027,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.7407407407407407,0.999999000001,8.0,2026-06-24
ACC-01113,Starter,Media,1,105.36,30,0.027,Low,Login frequency down 64% vs their own 30-day average | Active days per week down 61% vs baseline,Check in with an async usage summary or a light-touch 'how's it going' email.,2.0,0.3571428571428571,0.999999000001,,2026-06-26
ACC-00659,Starter,Professional Services,18,1845.08,44,0.026,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.8502024291497977,0.7499998125000469,,2026-06-28
ACC-00743,Growth,EdTech,2,273.38,107,0.026,Low,Low NPS/survey response (5/10),Personally follow up on their survey feedback; treat as a save-play priority.,0.0,1.4285714285714286,0.199999960000008,5.0,2026-06-25
ACC-01008,Starter,Manufacturing,2,156.56,79,0.026,Low,Login frequency down 46% vs their own 30-day average,Check in with an async usage summary or a light-touch 'how's it going' email.,2.0,0.5357142857142857,0.0,10.0,2026-06-23
ACC-00044,Growth,Professional Services,5,921.09,198,0.026,Low,Low NPS/survey response (2/10),Personally follow up on their survey feedback; treat as a save-play priority.,1.0,0.8458646616541353,0.0,2.0,2026-06-27
ACC-00338,Scale,Retail,20,2407.35,51,0.025,Low,Low NPS/survey response (5/10),Personally follow up on their survey feedback; treat as a save-play priority.,0.0,0.8775510204081634,0.3333332222222592,5.0,2026-06-24
ACC-00219,Scale,Manufacturing,4,860.99,233,0.025,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.7728337236533959,0.399999920000016,7.0,2026-06-23
ACC-00207,Growth,Media,10,1857.7,79,0.025,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.7755102040816327,0.0,,2026-06-26
ACC-00372,Growth,Media,6,1115.25,86,0.024,Low,Low NPS/survey response (2/10),Personally follow up on their survey feedback; treat as a save-play priority.,0.0,0.875251509054326,0.0,2.0,2026-06-23
ACC-00005,Scale,Healthcare,8,1637.51,79,0.024,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.9821428571428572,0.0,,2026-06-23
ACC-00991,Growth,Healthcare,6,717.47,51,0.023,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,1.0150375939849623,0.9999996666667778,,2026-06-26
ACC-00637,Scale,Media,17,2801.17,79,0.023,Low,Low NPS/survey response (3/10),Personally follow up on their survey feedback; treat as a save-play priority.,0.0,1.0356224752111642,0.3333332222222592,3.0,2026-06-24
ACC-00112,Enterprise,Logistics,18,8594.83,72,0.023,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.9863013698630138,0.0,9.0,2026-06-28
ACC-00073,Starter,FinTech,1,43.57,72,0.023,Low,Login frequency down 52% vs their own 30-day average | Low NPS/survey response (5/10),Check in with an async usage summary or a light-touch 'how's it going' email.,5.0,0.4761904761904761,0.0,5.0,2026-06-28
ACC-00170,Growth,Healthcare,5,619.89,86,0.023,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.8571428571428571,0.0,8.0,2026-06-25
ACC-01024,Scale,Logistics,3,463.27,170,0.022,Low,Low NPS/survey response (2/10),Personally follow up on their survey feedback; treat as a save-play priority.,0.0,0.8362369337979093,0.0,2.0,2026-06-27
ACC-00836,Starter,EdTech,5,342.22,135,0.022,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.7936507936507936,0.6666664444445185,9.0,2026-06-24
ACC-00607,Growth,FinTech,26,2025.1,93,0.022,Low,Low NPS/survey response (2/10),Personally follow up on their survey feedback; treat as a save-play priority.,0.0,0.850599781897492,0.0,2.0,2026-06-25
ACC-00631,Starter,EdTech,3,142.99,44,0.022,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,1.020408163265306,0.6666664444445185,,2026-06-25
ACC-00789,Starter,Professional Services,9,630.9,128,0.022,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.8265306122448979,0.0,10.0,2026-06-23
ACC-00546,Growth,Logistics,57,8125.38,58,0.021,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.8922124806601341,0.2499999375000156,8.0,2026-06-26
ACC-01188,Growth,Media,2,287.56,191,0.021,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,1.0084033613445378,0.0,10.0,2026-06-26
ACC-00402,Starter,Manufacturing,3,318.03,100,0.02,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.8716707021791767,0.999999000001,10.0,2026-06-27
ACC-00945,Starter,Healthcare,3,256.54,79,0.02,Low,Very narrow feature adoption (avg 1.9 features/day),Offer a tailored onboarding refresh or feature-adoption session.,0.0,1.2442396313364057,0.0,,2026-06-23
ACC-00132,Scale,EdTech,17,2354.64,72,0.019,Low,Low NPS/survey response (2/10),Personally follow up on their survey feedback; treat as a save-play priority.,0.0,0.8378088077336198,0.0,2.0,2026-06-23
ACC-00428,Scale,Logistics,3,359.44,44,0.019,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.8241758241758241,0.0,8.0,2026-06-26
ACC-01192,Starter,Healthcare,9,579.98,93,0.019,Low,Low NPS/survey response (5/10),Personally follow up on their survey feedback; treat as a save-play priority.,0.0,0.9138655462184876,0.0,5.0,2026-06-25
ACC-01179,Enterprise,Retail,8,2836.57,51,0.019,Low,Login frequency down 45% vs their own 30-day average | Low NPS/survey response (3/10),Check in with an async usage summary or a light-touch 'how's it going' email.,0.0,0.546218487394958,0.2499999375000156,3.0,2026-06-24
ACC-00461,Starter,FinTech,5,355.83,72,0.018,Low,Low NPS/survey response (5/10),Personally follow up on their survey feedback; treat as a save-play priority.,0.0,1.164021164021164,0.0,5.0,2026-06-28
ACC-01082,Enterprise,EdTech,5,816.5,86,0.018,Low,Low NPS/survey response (6/10),Personally follow up on their survey feedback; treat as a save-play priority.,0.0,0.6233766233766234,0.0,6.0,2026-06-24
ACC-00263,Scale,Retail,4,519.01,72,0.018,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,1.0,1.1428571428571428,0.0,9.0,2026-06-27
ACC-00000,Scale,Media,14,3309.69,142,0.018,Low,Low NPS/survey response (2/10),Personally follow up on their survey feedback; treat as a save-play priority.,0.0,0.7142857142857143,0.0,2.0,2026-06-23
ACC-01011,Growth,Manufacturing,2,175.87,100,0.018,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.8362369337979093,0.0,10.0,2026-06-25
ACC-00225,Enterprise,Professional Services,43,11556.52,93,0.018,Low,Low NPS/survey response (1/10),Personally follow up on their survey feedback; treat as a save-play priority.,0.0,0.896551724137931,0.0,1.0,2026-06-26
ACC-00039,Starter,Logistics,2,238.42,79,0.018,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,1.0,0.9183673469387756,0.0,8.0,2026-06-26
ACC-00351,Starter,Retail,4,397.24,72,0.018,Low,Low NPS/survey response (0/10),Personally follow up on their survey feedback; treat as a save-play priority.,0.0,1.457142857142857,0.0,0.0,2026-06-24
ACC-01034,Enterprise,Manufacturing,25,10357.61,100,0.017,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,1.189834424335772,0.6666664444445185,10.0,2026-06-28
ACC-01057,Growth,Logistics,3,495.82,107,0.017,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.9890109890109888,0.6666664444445185,7.0,2026-06-24
ACC-00949,Growth,Professional Services,3,377.44,212,0.017,Low,Low NPS/survey response (3/10),Personally follow up on their survey feedback; treat as a save-play priority.,1.0,1.1142857142857143,0.399999920000016,3.0,2026-06-24
ACC-00835,Enterprise,Retail,26,11410.35,44,0.017,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.7436399217221136,0.6666664444445185,7.0,2026-06-24
ACC-00954,Growth,FinTech,1,165.54,86,0.017,Low,Low NPS/survey response (5/10),Personally follow up on their survey feedback; treat as a save-play priority.,2.0,1.4285714285714286,0.0,5.0,2026-06-23
ACC-00512,Growth,Manufacturing,1,59.51,93,0.016,Low,Low NPS/survey response (2/10),Personally follow up on their survey feedback; treat as a save-play priority.,5.0,1.4285714285714286,0.4999999166666805,2.0,2026-06-24
ACC-00258,Scale,Healthcare,3,310.53,37,0.016,Low,Login frequency down 84% vs their own 30-day average | Active days per week down 73% vs baseline | Low NPS/survey response (5/10),Check in with an async usage summary or a light-touch 'how's it going' email.,6.0,0.1587301587301587,0.999999000001,5.0,2026-06-22
ACC-00212,Starter,Healthcare,2,188.2,51,0.016,Low,Login frequency down 43% vs their own 30-day average | Low NPS/survey response (2/10),Check in with an async usage summary or a light-touch 'how's it going' email.,0.0,0.5714285714285714,0.499999750000125,2.0,2026-06-24
ACC-01075,Growth,Retail,8,676.91,51,0.016,Low,No single dominant signal — risk driven by a broad combination of factors,Review full usage trend in the dashboard before deciding on outreach.,0.0,0.8385093167701864,0.3333332222222592,9.0,2026-06-24
